Date,portfolio_returns,nasdaq_return
2021-12-01,-0.016416891503891473,-0.017159213782023564
2021-12-02,0.00804644555310996,-0.010101211899234408
2021-12-03,0.0002731420126522721,-0.027465577033132238
2021-12-06,0.024205208281254054,-0.01970392637759666
2021-12-07,0.05549143895231867,0.00938089421342947
2021-12-08,0.056723437188461734,0.01388703089793819
2021-12-09,0.044411319567637,-0.001142283709582248
2021-12-10,0.05183299453719359,0.0096570686289843
2021-12-13,0.025097280393279187,-0.00503570045795243
2021-12-14,0.020987216330083713,-0.015387545782604706
2021-12-15,0.01940764423655783,0.006807156720029184
2021-12-16,0.02698249743076797,-0.019421170914938557
2021-12-17,0.01814342505102129,-0.024325830861505637
2021-12-20,-0.0038264614916778683,-0.033836297351634625
2021-12-21,0.03033610137250964,-0.012451598391529206
2021-12-22,0.038273168248600165,-0.0004973932162520844
2021-12-23,0.04394332071698126,0.007009668881074571
2021-12-27,0.05898838961443764,0.023516689256797285
2021-12-28,0.0601516474832442,0.018761906208381696
2021-12-29,0.05803214672332313,0.018609679401214496
2021-12-30,0.05786856167298704,0.015561289013339863
2021-12-31,0.06206509599627341,0.009199625564590086
2022-01-03,0.0739080999828905,0.01886842009816192
2022-01-04,0.08713322313090299,0.0055665169204581755
2022-01-05,0.08136752466615182,-0.025809855809014737
2022-01-06,0.07455378363004272,-0.026494539564750563
2022-01-07,0.09660884103659928,-0.03709786444257457
2022-01-10,0.09005597867752946,-0.036464478500248365
2022-01-11,0.10087377529522112,-0.022097823817437967
2022-01-12,0.1099887159328945,-0.01822750983530219
2022-01-13,0.1131424122731528,-0.04310008753638017
2022-01-14,0.11248336220759514,-0.03716424186222855
2022-01-18,0.10350057177203764,-0.06143654564336687
2022-01-19,0.09091972705382467,-0.07180246149981939
2022-01-20,0.08632298585837139,-0.08393735770521193
2022-01-21,0.06188749809517158,-0.10969731644501246
2022-01-24,0.05620810913137064,-0.10563074748059353
2022-01-25,0.0441595487934352,-0.12660765010483632
2022-01-26,0.04045746997921862,-0.12797529895652915
2022-01-27,0.03301415722418022,-0.13680159054805785
2022-01-28,0.051056123830559796,-0.1101399885804375
2022-01-31,0.0746012007405148,-0.082129165795512
2022-02-01,0.0929172937594247,-0.0759056195261032
2022-02-02,0.10764179133534912,-0.06842726727714576
2022-02-03,0.08705580929644952,-0.10698366769388701
2022-02-04,0.08901380265222603,-0.09578887442325779
2022-02-07,0.09296687614060395,-0.10309221343631081
2022-02-08,0.11689256845285323,-0.0930714677275778
2022-02-09,0.149023335286516,-0.07405371514396075
2022-02-10,0.12562437805854354,-0.09525080726479551
2022-02-11,0.09080409648436327,-0.12441618823361567
2022-02-14,0.09204633568836518,-0.12333203686239258
2022-02-15,0.12328239780428851,-0.10180104192956607
2022-02-16,0.12196309526672477,-0.10202823852040799
2022-02-17,0.09713208544246132,-0.1291425419013431
2022-02-18,0.09491178842518466,-0.13913203367456783
2022-02-22,0.0929014878729435,-0.14782211166766301
2022-02-23,0.0650900568310322,-0.16993524711664842
2022-02-24,0.0892381100725188,-0.14249983327515647
2022-02-25,0.12082822597952902,-0.12930447068119633
2022-02-28,0.1156567839515159,-0.12671475311971203
2022-03-01,0.12748274311116115,-0.14018928382422768
2022-03-02,0.14533323006275523,-0.1258819037879677
2022-03-03,0.14487300586367557,-0.13845863170606365
2022-03-04,0.190952981823999,-0.15103536283760088
2022-03-07,0.13420497767546147,-0.18293838668282492
2022-03-08,0.1385089386155458,-0.18674483803933772
2022-03-09,0.16396776813468428,-0.1579838046318386
2022-03-10,0.16882350604100882,-0.1673866002187685
2022-03-11,0.15782299065228633,-0.1848352785234746
2022-03-14,0.13393369187533,-0.2006422509240361
2022-03-15,0.14129915083254563,-0.17595423338941485
2022-03-16,0.15197588244010407,-0.14594605031995744
2022-03-17,0.19496741380199256,-0.13566877483369155
2022-03-18,0.18686143906892805,-0.11815622588623431
2022-03-21,0.21749230452037116,-0.12061145643111681
2022-03-22,0.2165872460662268,-0.10349675742411768
2022-03-23,0.210170618056428,-0.11647426022619867
2022-03-24,0.2180236802497304,-0.09705140667862755
2022-03-25,0.2278579315451219,-0.09780490953405452
2022-03-28,0.2085469862146867,-0.08395257013264901
2022-03-29,0.2212042498923832,-0.06832183249391854
2022-03-30,0.22626033538807033,-0.0786701378541309
2022-03-31,0.2164066628045962,-0.0901608920237934
2022-04-01,0.22918176900696619,-0.09189439185635295
2022-04-04,0.23009282989217517,-0.07338765828226579
2022-04-05,0.2177855188324329,-0.09419407338314478
2022-04-06,0.22331366140505726,-0.1140770473360142
2022-04-07,0.25137902282662306,-0.11197294124290436
2022-04-08,0.24871541998933266,-0.12447460830956125
2022-04-11,0.24007377305114574,-0.14543597256372254
2022-04-12,0.22358828097910788,-0.14905351036080938
2022-04-13,0.23180416020565575,-0.13192979585502151
2022-04-14,0.2243778828764249,-0.152010654939162
2022-04-18,0.20981558645992582,-0.15135921641179972
2022-04-19,0.2173810042361588,-0.13260035593493946
2022-04-20,0.21981263292145004,-0.14534413465452278
2022-04-21,0.19711747872187346,-0.16321327586024614
2022-04-22,0.16807210435301423,-0.1854174177531861
2022-04-25,0.17406921307719325,-0.17502005138023258
2022-04-26,0.16122143299308678,-0.20676163383302293
2022-04-27,0.16909073168228939,-0.20771277714572944
2022-04-28,0.19612244157650816,-0.18006233023876994
2022-04-29,0.16303231709287114,-0.2178139313678925
2022-05-02,0.1818931347556365,-0.20486268396846896
2022-05-03,0.19452804952604064,-0.20401410110723817
2022-05-04,0.24538648127120366,-0.17754516803121634
2022-05-05,0.19586952766080312,-0.22004678991997273
2022-05-06,0.19973579653915796,-0.22944789013986466
2022-05-09,0.1325877403037492,-0.26020278347883885
2022-05-10,0.14248323696584664,-0.25126939500897416
2022-05-11,0.13241753483048102,-0.2738114530545699
2022-05-12,0.12962282067292596,-0.2755303174137106
2022-05-13,0.16890015842678663,-0.24916696764665125
2022-05-16,0.1698784914298812,-0.2579213085731358
2022-05-17,0.20320849298369814,-0.2389452018244398
2022-05-18,0.1558361347912005,-0.2772537954465739
2022-05-19,0.15340624055262553,-0.28113691816615005
2022-05-20,0.15617468727305495,-0.2833745848572554
2022-05-23,0.17617316346457135,-0.27155687743958423
2022-05-24,0.16379582640798973,-0.28721220884437304
2022-05-25,0.18120156783335806,-0.2773056048365232
2022-05-26,0.20814115807654887,-0.25755416392590935
2022-05-27,0.22771080873525862,-0.23370823254561923
2022-05-31,0.21615580569181003,-0.23574384521940261
2022-06-01,0.2104177714373796,-0.24141714027440142
2022-06-02,0.25094239404631025,-0.22092216402496845
2022-06-03,0.23360848127075107,-0.24146166934759927
2022-06-06,0.24400452342817558,-0.23893909316011963
2022-06-07,0.2556425437338823,-0.23240250028847542
2022-06-08,0.22689954165898518,-0.23794660231271958
2022-06-09,0.18912424630187874,-0.25863626606057155
2022-06-10,0.15512618208997364,-0.28525694954084346
2022-06-13,0.09879116874019678,-0.3192871756927147
2022-06-14,0.09272703289496698,-0.3180523265231353
2022-06-15,0.10024481245694816,-0.30123214104925045
2022-06-16,0.0423967260796394,-0.33000935216366667
2022-06-17,0.034775878558333195,-0.3219117388760906
2022-06-21,0.054313450016159504,-0.30501613802652294
2022-06-22,0.0300593017827131,-0.30603062359014643
2022-06-23,0.005548905057456199,-0.2957716976894359
2022-06-24,0.0509905161744888,-0.27204630779258976
2022-06-27,0.042311199410549394,-0.27740301507489384
2022-06-28,0.027697649607684616,-0.2997606604581283
2022-06-29,0.011261473698307656,-0.299118868750028
2022-06-30,-0.00018110250040248577,-0.3078662875625242
2022-07-01,0.0035738734538284245,-0.3033129644794853
2022-07-05,-0.011426806758194297,-0.29148656328759437
2022-07-06,-0.004192693461647634,-0.2869583001814954
2022-07-07,0.020876145967377413,-0.27186079389530193
2022-07-08,0.006326010631223289,-0.27094817724067755
2022-07-11,-0.005331466514764349,-0.2866927927094467
2022-07-12,-0.019122819620775444,-0.29363640347703557
2022-07-13,-0.022215503251239777,-0.2950938915383876
2022-07-14,-0.041566309332530915,-0.2925811648301271
2022-07-15,-0.028797472968429827,-0.2798641183337114
2022-07-18,-0.02145210585805779,-0.2859843048876658
2022-07-19,0.00652497314752476,-0.2643570066299966
2022-07-20,0.016336876506298337,-0.25278362064318205
2022-07-21,0.022671002615636038,-0.2421336412767925
2022-07-22,0.009675930865092441,-0.2555409686261543
2022-07-25,0.012297133745276412,-0.259793157091568
2022-07-26,0.0023764315596106478,-0.2744821851132646
2022-07-27,0.030929569869138307,-0.24445223197358523
2022-07-28,0.04012483347193885,-0.23710027010192902
2022-07-29,0.06057748277042263,-0.22331262626368398
2022-08-01,0.05008817171316249,-0.2237808672732421
2022-08-02,0.03771519446499605,-0.22609846388905763
2022-08-03,0.05670342307939369,-0.20530489732156976
2022-08-04,0.05379332966250816,-0.20159737378237086
2022-08-05,0.06154552488304299,-0.20814617844936678
2022-08-08,0.05622911198090352,-0.21070993215993905
2022-08-09,0.05457425531175608,-0.21969440836614296
2022-08-10,0.07933153397182546,-0.1982138511659448
2022-08-11,0.0784755906134389,-0.20277783668506144
2022-08-12,0.09154211380698518,-0.18740446946797618
2022-08-15,0.10015668230362285,-0.18086418461555542
2022-08-16,0.10366020452515401,-0.18278480739719283
2022-08-17,0.11200294401893851,-0.1921594828177725
2022-08-18,0.10319629936682162,-0.19021908287787037
2022-08-19,0.08705684561054561,-0.20616328496157899
2022-08-22,0.06987770467763688,-0.2273428749797881
2022-08-23,0.0658080948965496,-0.22798216831901874
2022-08-24,0.07069034316559186,-0.22574864882316326
2022-08-25,0.08447938701410074,-0.21217816886357044
2022-08-26,0.04937539388008805,-0.24514967536857268
2022-08-29,0.044152425917035165,-0.2526263733969455
2022-08-30,0.038185655823976594,-0.2609959301163205
2022-08-31,0.026777406600087428,-0.2653048359570197
2022-09-01,0.045834326618576116,-0.26498569344078815
2022-09-02,0.03127714055861475,-0.2754441405845989
2022-09-06,0.013914141266170521,-0.2806669610239072
2022-09-07,0.03554146925786417,-0.26628027448148006
2022-09-08,0.05268994806886984,-0.26248624031356305
2022-09-09,0.07208156980116054,-0.24653629355045104
2022-09-12,0.07491557555208228,-0.23763365234981848
2022-09-13,0.01778807414656991,-0.28062938025778006
2022-09-14,0.027225782135278376,-0.27494507828570014
2022-09-15,0.014918828698461395,-0.2871212916171737
2022-09-16,0.0010859713258131176,-0.2914938614733965
2022-09-19,-0.005310266317722467,-0.28599783653497846
2022-09-20,-0.016287999927046437,-0.29171193864504286
2022-09-21,-0.040112568903542645,-0.30450959409183265
2022-09-22,-0.048797486829868175,-0.3131228113429627
2022-09-23,-0.06186744507388864,-0.32439820823778376
2022-09-26,-0.08258761809998383,-0.3271995805377005
2022-09-27,-0.08684068506870724,-0.32692965558780984
2022-09-28,-0.06715963691057747,-0.313672357104836
2022-09-29,-0.08553877739346827,-0.3337482668173243
2022-09-30,-0.09844354119410192,-0.34514258843300916
2022-10-03,-0.07186542101190108,-0.3299569326619075
2022-10-04,-0.0421292640522013,-0.3092144262875465
2022-10-05,-0.04803989452853108,-0.30958206656943965
2022-10-06,-0.05489396552907999,-0.3150390502120324
2022-10-07,-0.07897311113390582,-0.34164909634433727
2022-10-10,-0.08518354366422021,-0.3482632290337261
2022-10-11,-0.08732992281248408,-0.3572792903684312
2022-10-12,-0.09851473711269909,-0.3574994001505898
